ID,Name,Classification per User,Provider Email,Date of Release,Consoles,Owners,Developers,Genres,Multiplayer Options,Online Features,Platforms,Modes,DLC Availability,Prices in dollars,Metacritic Scores,ESRB Content Ratings,System Requirements,Physical Releases,Awards
220,Forgotten Legends Twilight's Embrace,4,WanderersWhisper@outlook.com,1994-11-13,Nintendo 64,Capcom,Nintendo EAD,Action,Local Multiplayer,Social Media Integration,Nintendo Switch,Tutorial,Free DLC,10.0,10,Early Childhood,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Signature Edition,Best Adventure Game
221,Ancient Chronicles Dreamscape Chronicles,9,CelestialVagabond@gov.com,2009-07-20,PlayStation,Nintendo,Guerrilla Games,Action,Local Multiplayer,Matchmaking,Nintendo DS,Challenge Mode,Expansion Pack,5.0,94,Teen,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Platinum Hits,Best Indie Game
222,Dragon Saga Legacy of Light,10,WanderersWhim@hotmail.com,1991-12-19,Nintendo 64,CD Projekt,Bethesda Game Studios,Action,Competitive Local,User-generated Content,Game Boy Advance,Practice Mode,Planned,7.82,73,Early Childhood,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Signature Edition,Best RPG
223,Celestial Adventure Realm of Dreams,4,NomadicNirvana@outlook.com,1996-01-03,Nintendo 64,Tencent Games,Nintendo EAD,Action,Online Multiplayer,Matchmaking,Nintendo 64,Multiplayer,Paid DLC,5.0,86,Teen,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Special Edition,Best Game Design
224,Lunar Chronicles Origins Revealed,7,SecretGardenAdventurer@gov.com,1989-11-01,GameCube,Konami,CD Projekt Red,Adventure,LAN Multiplayer,Matchmaking,Nintendo Switch,Survival,Expansion Pack,8.05,80,Early Childhood,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Special Edition,Best Racing Game
225,Emerald Legends Horizon's Edge,10,CelestialRoamer@yahoo.com,1995-06-24,Nintendo Switch,Konami,Valve,Adventure,Couch Co-op,Online Events,Nintendo 3DS,Multiplayer,Available,7.5,28,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Game of the Year Edition,Best Innovation
226,Cyber Quest Odyssey of the Ancients,5,WanderersWhisper@gmail.com,1998-07-30,PlayStation,Bethesda Softworks,Infinity Ward,Action,Online Co-op,Online Events,Game Boy Advance,Cooperative,Planned,5.83,4,Mature,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Limited Edition,Best Fighting Game
227,Emerald Legends Phoenix Reborn,10,EtherealExplorer@gov.com,1980-10-15,Nintendo 64,Bandai Namco Entertainment,Bethesda Game Studios,Action,Cross-platform Multiplayer,Online Tournaments,Nintendo 64,Custom Mode,Planned,8.01,18,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Premium Edition,Best Action Game
228,Elemental Saga Origins Revealed,5,WanderlustWanderer@outlook.com,2000-01-31,PlayStation,Valve,Nintendo EAD,Action,Local Co-op,Online Leaderboards,Nintendo 3DS,Challenge Mode,Planned,10.0,30,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Complete Edition,Most Anticipated
229,Lunar Chronicles Apex of Adventure,8,SereneNomad@yahoo.com,1984-07-08,Nintendo 64,Take-Two Interactive,Epic Games,Adventure,LAN Co-op,Online Tournaments,Wii,Tutorial,Expansion Pack,10.0,70,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Signature Edition,Best Indie Game
230,Galactic Odyssey Mythos Ascendant,5,WanderlustWanderer@yahoo.com,2017-01-09,Sega Genesis,Tencent Games,Guerrilla Games,Action,Online Multiplayer,Online Leaderboards,GameCube,Time Trial,Expansion Pack,7.2,11,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Premium Edition,Best RPG
231,Dreamy Odyssey Origins Revealed,1,StellarAdventurer@gov.com,1994-08-03,Sega Genesis,Warner Bros. Interactive Entertainment,Guerrilla Games,Adventure,Local Co-op,Online Leaderboards,Game Boy Advance,Free Play,Planned,10.0,16,Everyone,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Game of the Year Edition,Best Sports Game
232,Dragon Saga Legends Unbound,9,SerenitySeeker@gmail.com,2019-12-17,PlayStation,Bandai Namco Entertainment,Capcom,Adventure,Cross-platform Multiplayer,Streaming Integration,Nintendo DS,Cooperative,Planned,5.38,75,Mature,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Anniversary Edition,Best Action Game
233,Mythic Adventure Epoch of Legends,5,EtherealExplorer@hotmail.com,1980-10-08,GameCube,CD Projekt,Bethesda Game Studios,Adventure,Cross-platform Multiplayer,Season Pass,Nintendo 64,Practice Mode,Free DLC,10.0,33,Everyone,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Limited Edition,Best Soundtrack
234,Elemental Saga Mythos Ascendant,4,EtherealExplorer@yahoo.com,2019-02-16,Sega Genesis,Bethesda Softworks,Naughty Dog,Adventure,LAN Multiplayer,Social Media Integration,Game Boy Advance,Competitive,Free DLC,9.74,30,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Steelbook Edition,Best Indie Game
235,Ancient Chronicles Celestial Rhapsody,5,WanderersWhisper@yahoo.com,2018-11-18,PlayStation,Rockstar Games,Capcom,Adventure,Online Co-op,Online Tournaments,Nintendo 64,Practice Mode,Free DLC,5.0,93,Mature,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Ultimate Edition,Most Anticipated
236,Neon Quest Nexus Unveiled,7,SereneSafari@gov.com,1980-06-10,Nintendo Switch,Bethesda Softworks,Infinity Ward,Adventure,Online Multiplayer,Cloud Saves,Nintendo DS,Time Trial,Available,6.03,90,Teen,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Premium Edition,Best RPG
237,Ancient Chronicles Enigma Unleashed,10,VoyageVirtuoso@gov.com,1980-07-31,Sega Genesis,Square Enix,Gearbox Software,Adventure,Split Screen,Online Events,Wii,Story Mode,Paid DLC,5.0,93,Teen,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Definitive Edition,Best Soundtrack
238,Enchanted Quest Phoenix Reborn,6,StarlightSurfer@gov.com,2014-10-27,Sega Genesis,Square Enix,Epic Games,Adventure,Cross-platform Multiplayer,Online Events,Wii,Practice Mode,Season Pass,5.0,24,Adults Only,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Complete Edition,Best Racing Game
239,Lunar Chronicles Nexus Unveiled,4,WanderersWhim@yahoo.com,2011-01-25,Nintendo 64,THQ Nordic,Gearbox Software,Action,LAN Co-op,Server Browser,Nintendo 64,Time Trial,Available,5.0,26,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Ultimate Edition,Fan Favorite
240,Mythic Adventure Infinity's Reach,10,AuroraSeeker@outlook.com,2018-01-25,Nintendo 64,Electronic Arts,Bungie,Adventure,Competitive Online,Voice Chat,Game Boy Advance,Offline,Free DLC,10.0,67,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Platinum Hits,Best Sports Game
241,Ancient Chronicles Heroes Reborn,10,NatureNurturer@gmail.com,2007-11-19,PlayStation,Tencent Games,Gearbox Software,Adventure,Competitive Local,Online Chat,Game Boy Advance,Survival,Not Available,5.29,60,Early Childhood,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Day One Edition,Best RPG
242,Mythic Adventure Enigma Unleashed,7,SoulfulSojourner@hotmail.com,2019-09-27,Sega Genesis,Warner Bros. Interactive Entertainment,Kojima Productions,Adventure,LAN Co-op,Online Leaderboards,Wii,Cooperative,Available,10.0,66,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Limited Edition,Best Innovation
243,Dragon Saga Odyssey of the Ancients,7,EternalExplorer@gov.com,1989-07-23,GameCube,Electronic Arts,343 Industries,Action,Competitive Online,Online Challenges,Nintendo 3DS,Custom Mode,Paid DLC,5.0,9,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Ultimate Edition,Best Visuals
244,Infernal Adventure Infinity's Reach,10,WanderersWhimsy@gov.com,1981-08-15,GameCube,Warner Bros. Interactive Entertainment,Epic Games,Action,LAN Co-op,Live Events,Nintendo 64,Custom Mode,Planned,5.0,74,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Ultimate Edition,Best Multiplayer Game
245,Elemental Saga Twilight's Embrace,6,EtherealExplorer@gov.com,2002-09-13,Sega Genesis,Sony Interactive Entertainment,Bungie,Action,Split Screen,Downloadable Content (DLC),Nintendo 3DS,Cooperative,Expansion Pack,7.53,29,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Signature Edition,Game of the Year
246,Starlight Odyssey Enigma Unleashed,10,DreamingDrifter@gmail.com,1989-04-02,Nintendo 64,Bethesda Softworks,Epic Games,Action,Couch Multiplayer,Matchmaking,Nintendo DS,Story Mode,Available,5.0,91,Mature,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Definitive Edition,Best Performance
247,Solar Odyssey Astral Ascension,6,SereneSafari@gov.com,2004-04-03,Sega Genesis,Warner Bros. Interactive Entertainment,Valve,Adventure,Split Screen,Online Events,GameCube,Practice Mode,Paid DLC,8.65,2,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Limited Edition,Best RPG
248,Eternal Legend Infinity's Reach,3,AuroraSeeker@hotmail.com,2017-06-30,PlayStation,Electronic Arts,Blizzard Entertainment,Adventure,Couch Co-op,Online Challenges,Wii U,Custom Mode,Available,10.0,16,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Day One Edition,Fan Favorite
249,Mystic Quest Infinity's Echo,7,SereneSafari@gmail.com,2009-11-27,Nintendo Switch,Activision,Valve,Action,Competitive Online,Social Media Integration,Nintendo 64,Cooperative,Available,8.25,30,Teen,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Game of the Year Edition,Best Game Design
250,Starlight Odyssey Phoenix Reborn,8,EtherealExplorer@hotmail.com,2002-02-22,PlayStation,CD Projekt,Blizzard Entertainment,Action,Competitive Online,Online Leaderboards,Nintendo 64,Story Mode,Free DLC,5.0,3,Early Childhood,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Enhanced Edition,Best Indie Game
251,Ancient Chronicles Epoch of Legends,5,EnchantedEclipse@gmail.com,1992-08-08,Nintendo 64,Square Enix,Insomniac Games,Adventure,Competitive Online,Cross-platform Play,Wii U,Challenge Mode,Expansion Pack,6.14,95,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Definitive Edition,Fan Favorite
252,Cyber Quest Chronicles of Discovery,4,DreamingDrifter@yahoo.com,2007-01-24,PlayStation,Square Enix,Ubisoft Montreal,Adventure,Cross-platform Multiplayer,Social Media Integration,Nintendo 64,Time Trial,Not Available,5.0,99,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Steelbook Edition,Best Narrative
253,Mythic Adventure Twilight's Embrace,9,WanderingWhisper@yahoo.com,1994-07-23,Nintendo Switch,Capcom,Capcom,Adventure,LAN Co-op,Social Media Integration,Wii,Multiplayer,Paid DLC,9.24,49,Teen,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Enhanced Edition,Fan Favorite
254,Neon Quest Legends Unbound,3,WanderersWhim@yahoo.com,2008-07-30,GameCube,Electronic Arts,Valve,Adventure,Competitive Local,Online Chat,Nintendo 3DS,Story Mode,Not Available,5.0,90,Early Childhood,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Collector's Edition,Best Strategy Game
255,Neon Quest Chronicles of Discovery,9,NomadicNebula@outlook.com,2008-10-27,Nintendo Switch,THQ Nordic,Rockstar North,Action,Local Multiplayer,Downloadable Content (DLC),Nintendo 3DS,Online,Season Pass,9.34,83,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Signature Edition,Best Racing Game
256,Twilight Saga Apex of Adventure,6,CelestialVagabond@outlook.com,1999-05-25,GameCube,Electronic Arts,Guerrilla Games,Adventure,Local Multiplayer,Cloud Saves,Nintendo DS,Single Player,Not Available,10.0,92,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Special Edition,Best Indie Game
257,Infinite Legends Legends Unbound,1,WanderersWhim@hotmail.com,2004-11-25,Nintendo 64,Square Enix,Gearbox Software,Action,Competitive Online,Cloud Saves,Nintendo 3DS,Multiplayer,Free DLC,5.0,63,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Gold Edition,Best Fighting Game
258,Starlight Odyssey Odyssey's End,9,NatureNurturer@hotmail.com,2015-08-06,Nintendo Switch,Nintendo,Rockstar North,Action,Online Co-op,In-game Purchases,Nintendo Switch,Offline,Paid DLC,5.0,84,Everyone,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Anniversary Edition,Best Innovation
259,Enchanted Quest Celestial Rhapsody,3,EnchantedEclipse@gov.com,1995-01-28,PlayStation,Sony Interactive Entertainment,Bungie,Action,Competitive Local,Server Browser,Wii U,Single Player,Planned,10.0,93,Teen,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Special Edition,Best Adventure Game
260,Infinite Legends Chronicles of Discovery,1,WanderlustDream@hotmail.com,2014-03-10,GameCube,Nintendo,Bethesda Game Studios,Adventure,Competitive Local,In-game Purchases,Game Boy Advance,Campaign,Available,10.0,89,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Premium Edition,Best Racing Game
261,Dragon Saga Astral Ascension,4,SereneSafari@gov.com,2021-02-23,Nintendo Switch,Capcom,Gearbox Software,Adventure,Couch Co-op,Streaming Integration,Nintendo Switch,Single Player,Not Available,10.0,25,Adults Only,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Collector's Edition,Best Action Game
262,Elemental Saga Apex of Adventure,1,DreamingDrifter@outlook.com,2010-03-08,Nintendo 64,Bethesda Softworks,Blizzard Entertainment,Adventure,Online Co-op,Cloud Saves,GameCube,Free Play,Expansion Pack,8.92,54,Early Childhood,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Complete Edition,Best Narrative
263,Forgotten Legends Apex of Adventure,5,EtherealExplorer@yahoo.com,1992-02-26,Nintendo Switch,THQ Nordic,Ubisoft Montreal,Action,Competitive Online,Online Challenges,Nintendo 64,Time Trial,Planned,10.0,32,Teen,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Day One Edition,Best Narrative
264,Shadow Adventure Twilight's Embrace,2,WanderlustDream@gov.com,2015-08-01,Sega Genesis,Valve,Naughty Dog,Adventure,Couch Multiplayer,User-generated Content,Nintendo 3DS,Survival,Expansion Pack,5.0,76,Everyone 10+,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Standard Edition,Best Strategy Game
265,Starlight Odyssey Elysium's Embrace,9,TranquilTrekker@yahoo.com,2008-09-04,GameCube,Bethesda Softworks,Kojima Productions,Action,LAN Multiplayer,Live Events,Nintendo 64,Competitive,Free DLC,5.0,89,Everyone 10+,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Standard Edition,Best Soundtrack
266,Shadow Adventure Beyond the Horizon,10,WhimsicalWayfarer@hotmail.com,2011-05-21,PlayStation,Activision,Epic Games,Adventure,Competitive Local,Online Events,Game Boy Advance,Challenge Mode,Planned,5.0,82,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Game of the Year Edition,Best Adventure Game
267,Solar Odyssey Twilight's Embrace,8,TranquilTrekker@gov.com,2002-11-09,Sega Genesis,Ubisoft,Bungie,Adventure,Competitive Local,User-generated Content,Nintendo 64,Single Player,Paid DLC,8.31,50,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Limited Edition,Game of the Year
268,Infinite Legends Echoes of Eternity,1,SkyboundTraveler@gov.com,2010-02-26,PlayStation,Microsoft Studios,Kojima Productions,Action,LAN Co-op,Server Browser,Nintendo 3DS,Survival,Free DLC,7.77,67,Teen,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Ultimate Edition,Best Indie Game
269,Shadow Adventure Legends Unbound,2,WanderersWhisper@yahoo.com,1993-01-11,Nintendo Switch,Sega,Gearbox Software,Action,Online Multiplayer,Cross-platform Play,Wii,Competitive,Season Pass,7.11,4,Teen,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Special Edition,Best Adventure Game
270,Galactic Odyssey Legends Unbound,6,SoulfulSojourner@hotmail.com,1997-08-25,Nintendo 64,Konami,Square Enix,Adventure,Split Screen,Social Media Integration,Nintendo 64,Challenge Mode,Expansion Pack,10.0,0,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Gold Edition,Best Multiplayer Game
271,Cosmic Journey Odyssey's End,7,WanderersWhim@yahoo.com,1994-05-11,Nintendo Switch,Capcom,Capcom,Action,Online Co-op,Server Browser,Wii,Multiplayer,Planned,10.0,81,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Standard Edition,Best Action Game
272,Frozen Journey Heroes Reborn,3,ForestExplorer@gmail.com,2013-06-18,Sega Genesis,Tencent Games,Capcom,Adventure,Local Multiplayer,User-generated Content,Nintendo DS,Practice Mode,Available,7.52,94,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Definitive Edition,Best Adventure Game
273,Dragon Saga Heroes Reborn,4,MountainSeeker@outlook.com,1989-12-22,Nintendo 64,CD Projekt,Valve,Action,Online Co-op,Cloud Saves,Game Boy Advance,Single Player,Paid DLC,8.9,71,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Game of the Year Edition,Best RPG
274,Galactic Odyssey Dreamscape Chronicles,4,EtherealExplorer@yahoo.com,2006-06-10,Nintendo Switch,Epic Games,Infinity Ward,Action,Competitive Local,Voice Chat,GameCube,Custom Mode,Free DLC,10.0,15,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Limited Edition,Best Fighting Game
275,Mystic Quest Legends Unbound,3,DreamingDrifter@gmail.com,2000-06-29,Sega Genesis,Square Enix,343 Industries,Adventure,Competitive LAN,Streaming Integration,Wii,Online,Expansion Pack,5.0,7,Everyone,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Premium Edition,Game of the Year
276,Cosmic Journey Infinity's Reach,1,WanderlustWisp@hotmail.com,2002-09-04,Nintendo 64,Konami,Bungie,Action,Couch Multiplayer,Cross-platform Play,GameCube,Time Trial,Free DLC,10.0,12,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Enhanced Edition,Most Anticipated
277,Ancient Chronicles Echoes of Eternity,5,EnchantedEclipse@gmail.com,1980-02-10,GameCube,Bandai Namco Entertainment,Kojima Productions,Action,Couch Multiplayer,Online Events,Game Boy Advance,Online,Free DLC,9.04,20,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Ultimate Edition,Best Sports Game
278,Lunar Chronicles Twilight's Embrace,4,DreamyVoyager@gmail.com,2003-01-05,GameCube,Take-Two Interactive,Nintendo EAD,Adventure,Couch Multiplayer,Social Media Integration,Nintendo Switch,Campaign,Planned,5.0,0,Teen,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Day One Edition,Best Strategy Game
279,Infinite Legends Origins Revealed,6,EternalExplorer@hotmail.com,1999-07-31,Sega Genesis,Capcom,Capcom,Action,Competitive Local,Downloadable Content (DLC),Nintendo Switch,Free Play,Expansion Pack,10.0,68,Teen,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Day One Edition,Best Indie Game
280,Phantom Saga Horizon's Edge,10,DreamCatcherJourney@outlook.com,2002-03-19,PlayStation,Warner Bros. Interactive Entertainment,CD Projekt Red,Adventure,LAN Multiplayer,Online Events,Nintendo DS,Competitive,Planned,8.7,55,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Game of the Year Edition,Best Direction
281,Infinite Legends Twilight's Embrace,6,EchoingExplorer@hotmail.com,2013-04-10,GameCube,CD Projekt,Square Enix,Adventure,Local Co-op,Social Media Integration,Wii,Challenge Mode,Planned,8.43,60,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Premium Edition,Best Narrative
282,Shadow Adventure Epoch of Legends,3,SereneSafari@gmail.com,2023-04-12,Sega Genesis,Bandai Namco Entertainment,Respawn Entertainment,Action,Local Multiplayer,Online Events,GameCube,Multiplayer,Available,5.0,62,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Game of the Year Edition,Best Fighting Game
283,Emerald Legends Odyssey's End,6,SunflowerDreamer@gmail.com,2021-04-12,Nintendo Switch,Valve,Rockstar North,Action,Competitive Local,Downloadable Content (DLC),Nintendo 3DS,Tutorial,Planned,5.0,5,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Standard Edition,Best Innovation
284,Forgotten Legends Infinity's Reach,4,MoonlitWanderer@outlook.com,1982-04-24,Nintendo Switch,Take-Two Interactive,Guerrilla Games,Action,Couch Multiplayer,In-game Purchases,Nintendo DS,Free Play,Expansion Pack,5.0,31,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Steelbook Edition,Game of the Year
285,Dragon Saga Horizon's Edge,6,NomadicNirvana@yahoo.com,1999-01-19,GameCube,Capcom,Blizzard Entertainment,Action,Competitive Online,Live Events,Wii U,Challenge Mode,Paid DLC,10.0,25,Teen,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Gold Edition,Best Racing Game
286,Solar Odyssey Horizon's Edge,8,SereneSafari@yahoo.com,2007-03-04,Sega Genesis,Bethesda Softworks,Blizzard Entertainment,Action,LAN Multiplayer,Online Leaderboards,Nintendo 64,Custom Mode,Expansion Pack,8.6,61,Teen,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Platinum Hits,Best RPG
287,Ancient Chronicles Odyssey's End,4,SoulfulSojourner@hotmail.com,2012-06-12,PlayStation,Sega,Insomniac Games,Action,LAN Multiplayer,Social Media Integration,GameCube,Campaign,Available,5.0,31,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Ultimate Edition,Best Innovation
288,Dragon Saga Epoch of Legends,4,MysticNomad@gmail.com,2024-03-01,Nintendo 64,CD Projekt,Rockstar North,Action,Couch Co-op,Downloadable Content (DLC),Nintendo 64,Custom Mode,Not Available,5.73,10,Everyone,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Platinum Hits,Best Adventure Game
289,Twilight Saga Phoenix Reborn,3,EnchantedExplorer@hotmail.com,2007-07-21,Nintendo Switch,Capcom,Ubisoft Montreal,Adventure,Online Co-op,Server Browser,Nintendo 64,Online,Not Available,5.26,29,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Game of the Year Edition,Most Anticipated
290,Galactic Odyssey Infinity's Reach,9,EtherealEcho@yahoo.com,2022-11-20,GameCube,Warner Bros. Interactive Entertainment,Bethesda Game Studios,Action,LAN Multiplayer,Online Events,Wii U,Single Player,Season Pass,7.69,49,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Day One Edition,Best Direction
291,Infinite Legends Odyssey of the Ancients,2,WandererInWhispers@gov.com,1993-04-15,Nintendo 64,Warner Bros. Interactive Entertainment,Blizzard Entertainment,Adventure,Online Multiplayer,Online Chat,Wii,Cooperative,Free DLC,10.0,73,Everyone 10+,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Definitive Edition,Best Strategy Game
292,Mythic Adventure Mythos Ascendant,4,AuroraSeeker@gmail.com,1983-09-05,Sega Genesis,Tencent Games,Guerrilla Games,Action,Competitive Local,Online Events,GameCube,Free Play,Expansion Pack,5.66,70,Early Childhood,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Standard Edition,Best Indie Game
